First Seen,MAC,SSID,Encryption,RSSI,Channel,Latitude,Longitude
2018-05-15 19:59:20,cc:06:77:e0:78:b8,Culala,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-81,11,14.70659871,121.09645602
2018-05-15 19:59:20,cc:06:77:e4:43:b4,PLDTHOMEFIBR5G443b0,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-80,36,14.70659871,121.09645602
2018-05-15 19:59:20,cc:06:77:e4:43:b0,WIFI-ni-FAME-at-LUCAS,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-74,1,14.70659871,121.09645602
2018-05-15 19:59:37,cc:06:77:e1:43:c0,markoliver,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-46,6,14.70701362,121.09634159
2018-05-15 19:59:02,c4:ff:1f:55:8b:10,GWAPO,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-87,5,14.70642182,121.09678915
2018-05-15 19:59:02,cc:06:77:5b:cc:74,PLDTHOMEFIBR5Gbcc70,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-72,36,14.70642182,121.09678915
2018-05-15 19:59:02,7c:8b:ca:28:14:54,ExPLDTHOMEFIBRbcc70,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-73,1,14.70642182,121.09678915
2018-05-15 19:59:02,48:fd:8e:ce:3d:bc,HUAWEI-b7ev,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-86,11,14.70642182,121.09678915
2018-05-15 19:59:37,cc:06:77:e1:43:c4,makoliver,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-49,36,14.70701362,121.09634159
2018-05-15 19:59:20,48:fd:8e:b8:9c:b0,Loothauz,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-81,10,14.70659871,121.09645602
2018-05-15 19:59:20,cc:06:77:73:63:f0,the_Fist_of_Shadow2.4G,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-83,1,14.70659871,121.09645602
2018-05-15 19:59:20,e0:8e:3c:2f:b6:55,bayanDSLWIFI_B655,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-85,1,14.70659871,121.09645602
2018-05-15 19:59:37,f0:8c:fb:80:5e:f8,PLDTHOMEFIBRrona ,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-60,9,14.70701362,121.09634159
2018-05-15 19:59:55,b0:4e:26:2f:cb:5a,WAB_Hotspot_4,[WPS][ESS],-50,12,14.70710382,121.09672181
2018-05-15 19:59:37,51502_30229_209992260,Globe,HSPA;ph,-81,0,14.70701362,121.09634159
2018-05-15 19:59:37,24:1f:a0:c3:1a:03,HUAWEI-E5330-1A03,[WPA2-PSK-CCMP][ESS],-84,5,14.70701362,121.09634159
2018-05-15 20:00:10,a8:15:4d:e9:5a:e0,Tita Easth Net,[WPA2-PSK-CCMP][WPS][ESS],-61,7,14.70693562,121.09707013
2018-05-15 19:59:55,00:72:16:73:e0:cc,bayanDSLWIFI_0515,[WPA2-PSK-CCMP][ESS],-81,1,14.70710382,121.09672181
2018-05-15 20:00:10,d4:6e:0e:78:54:78,TP-LINK_5478,[WPA2-PSK-CCMP][WPS][ESS],-65,7,14.70693562,121.09707013
2018-05-15 19:59:37,8c:68:c8:c0:1a:82,bayanDSLWIFI_1A82,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-87,1,14.70701362,121.09634159
2018-05-15 20:00:10,9c:88:ad:a0:ba:10,PLDTHOMEFIBR_a0ba10,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-72,7,14.70693562,121.09707013
2018-05-15 20:00:10,8c:4c:ad:01:77:74,Dhens,[WPA2-PSK-CCMP][WPS][ESS],-68,8,14.70693562,121.09707013
2018-05-15 19:59:37,cc:06:77:20:4f:00,,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-87,11,14.70701362,121.09634159
2018-05-15 19:59:55,00:27:15:07:74:93,BZHm-SDg1MA,[ESS],-84,6,14.70710382,121.09672181
2018-05-15 19:59:55,94:a7:b7:26:65:c9,bayanDSLWIFI_65C9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-87,1,14.70710382,121.09672181
2018-05-15 20:00:10,00:23:69:21:4c:f8,linksys,[WPS][ESS],-87,6,14.70693562,121.09707013
2018-05-15 20:00:27,00:1f:fb:c5:2d:33,MaximHernaez,[WPA2-PSK-CCMP][WPS][ESS],-66,11,14.70698013,121.09751988
2018-05-15 20:00:10,b0:4e:26:2f:d4:c2,WAB_Hotspot_3,[WPS][ESS],-85,12,14.70693562,121.09707013
2018-05-15 20:00:10,00:1f:fb:ab:a2:33,NHOYSKIE ANALYN,[WPA2-PSK-CCMP][WPS][ESS],-84,1,14.70693562,121.09707013
2018-05-15 20:00:44,d4:61:2e:5f:aa:fa,HUAWEI-AAFA,[WPA2-PSK-CCMP][ESS],-75,10,14.7069051,121.09797915
2018-05-15 20:00:27,70:4f:57:1f:ed:1c,WAB_HotSpot_WiFi,[ESS],-81,4,14.70698013,121.09751988
2018-05-15 20:00:27,60:83:34:c9:9c:95,MegaMilk,[WPA2-PSK-CCMP][ESS],-82,8,14.70698013,121.09751988
2018-05-15 20:00:44,8c:34:fd:42:2b:e7,HUAWEI-E5330-2BE7,[WPA2-PSK-CCMP][ESS],-78,1,14.7069051,121.09797915
2018-05-15 20:00:44,20:54:00:78:06:4f,BbF7-TXlQaG9uZV9teTgx,[ESS],-72,6,14.7069051,121.09797915
2018-05-15 20:00:27,a6:28:ad:89:9b:a4,BdNk-b3J0aWxsYW5hamVzcw,[WPS][ESS],-87,11,14.70698013,121.09751988
2018-05-15 20:00:44,96:53:30:d4:f4:a5,DIRECT-jc-BRAVIA,[WPA2-PSK-CCMP][WPS][ESS],-84,11,14.7069051,121.09797915
2018-05-15 20:00:44,f0:8c:fb:80:f0:40,PLDTHOMEFIBR_80f040,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-84,8,14.7069051,121.09797915
2018-05-15 20:01:03,e8:de:27:79:75:20,CLIQUE5,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],-81,4,14.70643024,121.09816522
2018-05-15 20:01:03,00:13:33:dd:f2:0e,PLDTHOMEDSL_PETROS,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-88,11,14.70643024,121.09816522
2018-05-15 20:01:03,cc:06:77:72:6b:80,MONDRAGON_5G,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-88,11,14.70643024,121.09816522
