Total No. of APs,1365
Box no.,Total APs
0,121
MAC,Persistence,Dates Seen
00:26:75:f6:01:38,1,"04/03/2018,"
d0:7a:b5:b8:32:9a,1,"04/03/2018,"
a0:cb:fd:c8:5d:e0,1,"04/03/2018,"
78:c1:a7:23:48:66,2,"04/05/2018,"
00:13:33:e1:c7:ec,1,"04/05/2018,"
dc:09:4c:9a:74:29,1,"04/05/2018,"
3a:f7:3d:af:9d:04,2,"04/05/2018,"
36:69:87:e8:47:ae,1,"04/05/2018,"
c8:93:46:48:56:58,1,"04/05/2018,"
90:61:0c:33:a6:ea,1,"04/05/2018,"
""
Box no.,Total APs
11,122
MAC,Persistence,Dates Seen
00:13:33:e1:7d:fc,9,"03/14/2018, 04/03/2018, 04/05/2018,"
90:61:0c:2d:88:5b,11,"03/14/2018, 04/03/2018, 04/05/2018,"
cc:06:77:e1:80:f8,4,"03/14/2018, 04/03/2018, 04/05/2018,"
90:61:0c:2d:d3:09,12,"03/14/2018, 04/03/2018, 04/05/2018,"
a4:2b:b0:c1:4c:87,1,"03/14/2018,"
b4:2a:0e:29:fe:25,4,"03/14/2018, 04/03/2018, 04/05/2018,"
e0:8e:3c:2d:fa:d5,2,"03/14/2018, 04/03/2018,"
48:f8:b3:0f:d9:65,7,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
36:69:87:c0:03:0d,1,"03/14/2018,"
e0:8e:3c:19:9c:bb,4,"03/14/2018, 03/22/2018, 04/05/2018,"
94:46:96:1d:46:ce,1,"03/14/2018,"
cc:06:77:5c:bd:59,1,"03/14/2018,"
00:13:33:fa:b8:da,1,"03/14/2018,"
